Stage,Behavior,Accuracy
Backbone,0,65.46762589928058
Backbone,1,64.63414634146342
Backbone,2,0.0
Backbone,3,0.0
Backbone,4,63.46153846153846
Backbone,5,89.70588235294117
Backbone,6,0.0
Backbone,7,71.42857142857143
Backbone,8,73.07692307692308
Backbone,9,51.785714285714285
Backbone,10,92.85714285714286
Backbone,11,75.86206896551724
Backbone,12,54.54545454545455
Task 1,0,22.302158273381295
Task 1,1,42.68292682926829
Task 1,2,83.63636363636364
Task 1,3,0.0
Task 1,4,21.153846153846153
Task 1,5,75.0
Task 1,6,0.0
Task 1,7,42.857142857142854
Task 1,8,59.61538461538461
Task 1,9,35.714285714285715
Task 1,10,78.57142857142857
Task 1,11,37.93103448275862
Task 1,12,16.363636363636363
Task 2,0,44.60431654676259
Task 2,1,47.5609756097561
Task 2,2,72.72727272727273
Task 2,3,70.17543859649123
Task 2,4,32.69230769230769
Task 2,5,82.3529411764706
Task 2,6,0.0
Task 2,7,53.57142857142857
Task 2,8,63.46153846153846
Task 2,9,37.5
Task 2,10,67.14285714285714
Task 2,11,50.0
Task 2,12,36.36363636363637
Task 3,0,42.44604316546763
Task 3,1,48.78048780487805
Task 3,2,67.27272727272727
Task 3,3,64.91228070175438
Task 3,4,38.46153846153846
Task 3,5,48.529411764705884
Task 3,6,71.1864406779661
Task 3,7,60.714285714285715
Task 3,8,61.53846153846154
Task 3,9,30.357142857142858
Task 3,10,62.857142857142854
Task 3,11,55.172413793103445
Task 3,12,38.18181818181818
